	kommunenr	kommune	lat	lon	lat_lon
339	1718	Leksvik	63.6736	10.6272	63.6736,10.6272
340	1719	Levanger	63.74585	11.29991	63.74585,11.29991
341	1721	Verdal	63.793319999999994	11.4817	63.79332,11.4817
342	1724	Verran	64.071	11.21795	64.071,11.21795
343	1725	Namdalseid	64.22243	11.22139	64.22243,11.22139
344	1736	Snåsa	64.24606	12.38294	64.24606,12.38294
345	1738	Lierne	64.46413000000001	13.59249	64.46413,13.59249
346	1739	Røyrvik	64.8838	13.5631	64.8838,13.5631
347	1740	Namsskogan	64.92596999999999	13.159320000000001	64.92597,13.15932
348	1742	Grong	64.46396999999999	12.31114	64.46397,12.31114
349	1743	Høylandet	64.62759	12.300410000000001	64.62759,12.30041
350	1744	Overhalla	64.4938	11.94753	64.4938,11.94753
351	1748	Fosnes	64.6591	11.26535	64.6591,11.26535
352	1749	Flatanger	64.41282	11.03285	64.41282,11.03285
353	1750	Vikna	64.86362	11.24198	64.86362,11.24198
354	1751	Nærøy	64.86298000000001	11.60505	64.86298,11.60505
355	1755	Leka	65.09244	11.70513	65.09244,11.70513
356	1756	Inderøy	63.87826	11.284239999999999	63.87826,11.28424
358	1804	Bodø	67.28325	14.383189999999999	67.28325,14.38319
359	1805	Narvik	68.43896	17.42775	68.43896,17.42775
360	1811	Bindal	65.0878	12.377469999999999	65.0878,12.37747
361	1812	Sømna	65.31379	12.16729	65.31379,12.16729
362	1813	Brønnøy	65.46786	12.20626	65.46786,12.20626
363	1815	Vega	65.67539000000001	11.96456	65.67539,11.96456
364	1816	Vevelstad	65.70002	12.439210000000001	65.70002,12.43921
365	1818	Herøy	65.98427	12.28916	65.98427,12.28916
366	1820	Alstahaug	66.01937	12.60211	66.01937,12.60211
367	1822	Leirfjord	66.06348	12.93667	66.06348,12.93667
368	1824	Vefsn	65.84109000000001	13.200239999999999	65.84109,13.20024
369	1825	Grane	65.53865	13.38499	65.53865,13.38499
370	1826	Hattfjelldal	65.59765	13.989479999999999	65.59765,13.98948
371	1827	Dønna	66.10606	12.48189	66.10606,12.48189
372	1828	Nesna	66.19796	13.02229	66.19796,13.02229
373	1832	Hemnes	66.07712	13.8135	66.07712,13.8135
374	1833	Rana	66.31121999999999	14.13996	66.31122,14.13996
375	1834	Lurøy	66.41887	12.84248	66.41887,12.84248
376	1835	Træna	66.50159000000001	12.09645	66.50159,12.09645
377	1836	Rødøy	66.71195	13.2853	66.71195,13.2853
378	1837	Meløy	66.87204	13.707629999999998	66.87204,13.70763
379	1838	Gildeskål	67.03394	14.025820000000001	67.03394,14.02582
380	1839	Beiarn	67.00725	14.573039999999999	67.00725,14.57304
381	1840	Saltdal	67.10144	15.39458	67.10144,15.39458
382	1841	Fauske	67.25963	15.3941	67.25963,15.3941
383	1845	Sørfold	67.34803000000001	15.59445	67.34803,15.59445
384	1848	Steigen	67.77625	15.016210000000001	67.77625,15.01621
385	1849	Hamarøy	68.08381	15.616710000000001	68.08381,15.61671
386	1850	Tysfjord	68.09772	16.37591	68.09772,16.37591
387	1851	Lødingen	68.40998	15.990120000000001	68.40998,15.99012
388	1852	Tjeldsund	68.55556999999999	16.361720000000002	68.55557,16.36172
389	1853	Evenes	68.52334	17.008879999999998	68.52334,17.00888
390	1854	Ballangen	68.34365	16.833170000000003	68.34365,16.83317
391	1856	Røst	67.51727	12.115639999999999	67.51727,12.11564
392	1857	Værøy	67.66374	12.69337	67.66374,12.69337
393	1859	Flakstad	68.09291999999999	13.2331	68.09292,13.2331
